actor,person,episodes,start_year,end_year
Jamie Sives,Jory Cassel,5,2011,2011
Kate Dickie,Lysa Arryn,5,2011,2014
Ciarán Hinds,Mance Rayder,5,2013,2015
Robert Pugh,Craster,5,2012,2013
Alexander Siddig,Doran Martell,5,2015,2016
Nonso Anozie,Xaro Xhoan Daxos,5,2012,2012
James Faulkner,Randyll Tarly,5,2016,2017
Tim McInnerny,Robett Glover,5,2016,2017
John Stahl,Rickard Karstark,5,2012,2013
Ralph Ineson,Dagmer Cleftjaw,5,2012,2012
Bella Ramsey,Lyanna Mormont,5,2016,2017
Elizabeth Webster,Walda Bolton,5,2014,2016
Toby Sebastian,Trystane Martell,5,2015,2016
Jamie Michie,Steelshanks Walton,5,2013,2013
Jim Broadbent,Archmaester Ebrose,4,2017,2017
Mark Gatiss,Tycho Nestoris,4,2014,2017
Patrick Malahide,Balon Greyjoy,4,2012,2016
Ian Hanmore,Pyat Pree,4,2012,2012
Yuri Kolokolnikov,Styr,4,2014,2014
Enzo Cilenti,Yezzan zo Qaggaz,4,2015,2016
Burn Gorman,Karl Tanner,4,2013,2014
Wilko Johnson,Ilyn Payne,4,2011,2012
Emun Elliott,Marillion,4,2011,2011
Tom Hopper,Dickon Tarly,4,2017,2017
Simon Armstrong,Qhorin Halfhand,4,2012,2012
Daniel Tuite,Lothar Frey,4,2016,2016
Andy Beckwith,Rorge,4,2012,2014
Eros Vlahos,Lommy Greenhands,4,2011,2012
Kerr Logan,Matthos Seaworth,4,2012,2012
Sahara Knite,Armeca,4,2011,2012
Robert Sterne,Royal Steward,4,2011,2011
Forbes KB,Black Lorren,4,2012,2012
Fintan McKeown,Amory Lorch,4,2012,2012
Gerard Jordan,Biter,4,2012,2014
Robert Aramayo,Young Ned,4,2016,2017
William Nevan Wilson,Baby Sam,4,2016,2017
James Robert Wilson,Baby Sam,4,2016,2017
Vladimir 'Furdo' Furdik,The Night King,4,2016,2017
Tobias Winter,Timett,4,2011,2012
Richard E. Grant,Izembaro,3,2016,2016
Essie Davis,Lady Crane,3,2016,2016
Nicholas Blane,Spice King,3,2012,2012
Max von Sydow,Three-Eyed Raven,3,2016,2016
Miltos Yerolemou,Syrio Forel,3,2011,2011
Brendan Cowell,Harrag,3,2017,2017
Lucian Msamati,Salladhor Saan,3,2012,2014
Ed Skrein,Daario Naharis,3,2013,2013
Clive Mantle,Greatjon Umber,3,2011,2011
Kevin Eldon,Camello,3,2016,2017
Paul Rattray,Harald Karstark,3,2016,2016
Neil Fingleton,Giant Wight #2,3,2014,2017
Kae Alexander,Leaf,3,2016,2016
Leigh Gill,Bobono,3,2016,2016
George Georgiou,Razdal mo Eraz,3,2013,2016
Sarine Sofair,Lhara,3,2014,2015
Rob Callender,Clarenzo,3,2016,2016
Joseph Gatt,Thenn Warg,3,2014,2014
Mia Soteriou,Mirri Maz Duur,3,2011,2011
Andy Kellegher,Polliver,3,2012,2014
Karl Davies,Alton Lannister,3,2012,2012
Joseph Naufahu,Khal Moro,3,2016,2016
Dan Hildebrand,Kraznys mo Nakloz,3,2013,2013
Reece Noi,Mossador,3,2014,2015
Ross Mullan,White Walker,3,2012,2014
Edward Dogliani,Rattleshirt,3,2012,2013
Meena Rayann,Vala,3,2015,2016
Maisie Dee,Daisy,3,2012,2012
Samantha Bentley,Bathhouse Prostitute,3,2014,2015
Slavko Juraga,Silk King,3,2012,2012
Diogo Sales,Dothraki Bloodrider #1,3,2016,2016
Nanna Bryndís Hilmarsdóttir,Musician #1,3,2016,2016
Junade Khan,Dothraki Bloodrider #2,3,2016,2016
Ragnar Þórhallsson,Musician #2,3,2016,2016
Arnar Rosenkranz Hilmarsson,Musician #3,3,2016,2016
Brynjar Leifsson,Musician #4,3,2016,2016
Robert Fawsitt,Loyal Night's Watchman #2,3,2016,2016
Kristján Kristjánsson,Musician #5,3,2016,2016
Xena Avramidis,King's Landing Whore,3,2014,2015
Valis Volkova,Dothraki Woman Having Sex,3,2015,2016
Megan Parkinson,Alys Karstark,3,2016,2017
Chuku Modu,Aggo,3,2016,2016
Annette Hannah,Frances,3,2016,2017
Roy Dotrice,Hallyne,2,2012,2012
Roger Allam,Illyrio Mopatis,2,2011,2011
Jóhannes Haukur Jóhannesson,Lem Lemoncloak,2,2016,2016
Dean S. Jagger,Smalljon Umber,2,2016,2016
Ciaran Bermingham,Mord,2,2011,2011
Michael Feast,Aeron Greyjoy,2,2016,2016
Murray McArthur,Dim Dalba,2,2015,2016
Eddie Jackson,Belicho Paenymion,2,2016,2016
Ricky Champ,Gatins,2,2016,2016
Margaret John,Old Nan,2,2011,2011
Richard Brake,The Night King,2,2014,2015
Ian Davies,Morgan,2,2016,2016
Conan Stevens,Gregor Clegane,2,2011,2011
Adewale Akinnuoye-Agbaje,Malko,2,2015,2015
Oengus MacNamara,Thin Man,2,2015,2015
Tom Brooke,Lothar Frey,2,2013,2013
Eline Powell,Bianca,2,2016,2016
Brendan McCormack,Vardis Egen,2,2011,2011
Mark Lewis Jones,Shagga,2,2011,2011
Laura Pradelska,Quaithe,2,2012,2012
Eva Butterly,Margaery Tyrell Mummer,2,2016,2016
Stella McCusker,Old Woman,2,2015,2015
Jefferson Hall,Hugh of the Vale,2,2011,2011
Deirdre Monaghan,Morag,2,2014,2014
Will O'Connell,Todder,2,2013,2015
Ali Lyons,Johnna,2,2015,2015
Karla Lyons,Willa,2,2015,2015
Lucy Hayes,Lady Kitty Frey,2,2016,2017
Aisling Franciosi,Lyanna Stark,2,2016,2017
Peter Ballance,Farlen,2,2012,2012
Alisdair Simpson,Donnel Waynwood,2,2014,2014
David Coakley,Drennan,2,2012,2012
Harry Grasby,Ned Umber,2,2017,2017
Jane McGrath,Sissy,2,2014,2014
Souad Faress,Dosh khaleen High Priestess,2,2016,2016
Gerald Lepkowski,Zanrush,2,2016,2016
Emily Diamond,King's Landing Whore,2,2011,2011
Hannah John-Kamen,Ornela,2,2016,2016
Annette Tierney,Young Nan,2,2016,2016
Kevin Keenan,Kurleket,2,2011,2011
Donagh Deeney,Winterfell Shepherd,2,2012,2012
Anthony Morris,The Tickler,2,2012,2012
Hattie Gotobed,Ghita,2,2015,2015
Sam Coleman,Wyllis,2,2016,2016
Chris Reilly,Morgan,2,2012,2014
Cliff Barry,Greizhen mo Ullhor,2,2013,2013
Lois Winstone,Mole's Town Whore,2,2014,2014
Paul Caddell,Jacks,2,2012,2012
Sam Callis,Goldcloak,2,2012,2012
Reg Wayment,King's Landing Rioter #1,2,2012,2012
Gary Oliver,Ternesio Terys,2,2014,2015
Fola Evans-Akingbola,Moro's Wife #2,2,2016,2016
Michael Shelford,Master Torturer,2,2013,2013
Emilio Doorgasingh,Great Master #1,2,2014,2014
Sebastian Croft,Young Ned Stark,2,2016,2016
Fergus Leathem,Young Rodrik Cassel,2,2016,2016
Antonia Christophers,Mhaegen,2,2011,2012
Will Fortune,NA,2,2014,2015
Lu Corfield,Mole's Town Madam,2,2014,2014
Aiden Condron,Lannister Captain,2,2012,2012
Aidan Crowe,Quent,2,2012,2012
Matteo Elezi,Young Benjen Stark,2,2016,2016
Angelique Fernandez,Dothraki Widow #1,2,2016,2016
David Sheehan,Stark Guard,2,2012,2012
Glen Barry,Mummer #2,2,2016,2016
Pixie Le Knot,Kayla,2,2013,2014
Conor Watters,Manservant,2,2014,2014
Brendan O'Rourke,Mummer #3,2,2016,2016
Andrew Wilde,Tobho Mott,2,2011,2012
Ross Anderson-Doherty,Mummer #4,2,2016,2016
Michael Hayes,Night's Watchman #1,2,2016,2016
Wuese Houston-Jibo,Dothraki Widow #2,2,2016,2016
Timothy Gibbons,Willem Lannister,2,2013,2013
Jason McLaughlin,Baratheon Soldier #2,2,2015,2015
Steve Cash,Loyal Night's Watchman #1,2,2016,2016
Tony Flynn,Night's Watchman #2,2,2016,2016
Michael Hooley,Night's Watchman,2,2016,2016
Em Scribbler,The Mother,2,2015,2015
Dennis Stokes,Male Prostitute,2,2012,2012
Rebecca Scott,The Maiden,2,2015,2015
Rosie Ruthless,The Crone,2,2015,2015
Nathanael Saleh,Arthur,2,2016,2016
Jesse Magee,Little Bird #4,2,2016,2016
Michael Nevin,Little Bird #3,2,2016,2016
Lucy Gallagher,Little Bird #6,2,2016,2016
Iona Clarke,Little Bird #5,2,2016,2016
Fionn Kernan,Little Bird #7,2,2016,2016
Struan Rodger,Three-Eyed Raven,2,2014,2014
Kelly Long,Joyeuse Frey,2,2011,2013
Sophie Reid,Tyrell Lady,2,2013,2013
Tommy Dunne,Tommy,2,2011,2014
Vinnie McCabe,Leo Lefford,2,2011,2011
Ryan McKenna,Willis Wode,2,2011,2011
Robert Render,Ironborn #2,2,2011,2016
Ian McShane,Brother Ray,1,2016,2016
Birgitte Hjort Sørensen,Karsi,1,2015,2015
Stephen Swift,Singing Lannister Soldier,1,2012,2012
Barry McGovern,Dying Man,1,2014,2014
Zachary Baharov,Loboda,1,2015,2015
Danny Kirrane,Stark Soldier,1,2017,2017
Gordon Mahon,Imry Florent,1,2012,2012
Rory Mullen,Captain of the Bolton Archers,1,2016,2016
Joseph Quinn,Koner,1,2017,2017
James Doran,Mandon Moore,1,2012,2012
Mark Tankersley,Bolton General,1,2016,2016
Sarita Piotrowski,Jhiqui,1,2011,2011
Kieran Cunningham,Baratheon Officer,1,2012,2012
David Birkbeck,Northman Rider,1,2016,2016
Samantha Spiro,Melessa Tarly,1,2016,2016
Breige Roche,Winterfell Local,1,2017,2017
Bronson Webb,Will,1,2011,2011
Michael Grennell,Captain of the Archers,1,2012,2012
Ross O'Hennessy,Lord of Bones,1,2015,2015
Paul Garrett,Northman Archer,1,2016,2016
Eamonn Keenan,Stark Soldier,1,2017,2017
Rhodri Hosking,Mycah,1,2011,2011
John Standing,Jon Arryn,1,2011,2011
Mark Killeen,Mero,1,2013,2013
Rob Ostlere,Waymar Royce,1,2011,2011
Ramon Tikaram,Prendahl na Ghezn,1,2013,2013
Philip Arditti,Goatherd,1,2014,2014
Dermot Keaney,Gared,1,2011,2011
Lalor Roddy,Catspaw Assassin,1,2011,2011
Oliver Ford Davies,Maester Cressen,1,2012,2012
Kenneth Hadley,Septon,1,2013,2013
Rhodri Miles,First Mate,1,2014,2014
Julian Firth,Citadel Maester,1,2017,2017
Conor Delaney,Lannister Guard,1,2011,2011
Jodhi May,Maggy,1,2015,2015
Margaret Jackman,The Waif's Disguise,1,2016,2016
Philip O'Sullivan,Citadel Maester,1,2017,2017
Alexandra Dowling,Roslin Frey,1,2013,2013
Paola Dionisotti,Anya Waynwood,1,2014,2014
Samantha McEwan,Bathhouse Prostitute,1,2014,2014
Morgan C. Jones,Braavosi Captain,1,2015,2015
Darrell D'Silva,Ironborn #1,1,2016,2016
Kevin Horsham,Westerosi Trader,1,2016,2016
Melanie Liburd,Street Red Priestess Meereen,1,2016,2016
Laurence Spellman,Goldcloak,1,2017,2017
Sean Buckley,Old Man,1,2013,2013
Talitha Luke-Eardley,Yunkai'i Whore,1,2013,2013
Michael Hough,Ironborn in Skiff,1,2014,2014
Tim Loane,Black Armored White Walker,1,2015,2015
Michael Yare,Slaver,1,2015,2015
Louis Rolston,Bear Island Maester,1,2016,2016
Wilf Scolding,Rhaegar Targaryen,1,2017,2017
Simon Lowe,Wine Merchant,1,2011,2011
A.J. Kennedy,Frey Guard,1,2013,2013
Marko Jelic,Prisoner,1,2014,2014
Gianpiero Cognoli,Great Master #1,1,2015,2015
James McKenzie Robinson,Joss,1,2015,2015
Katie Alexander Thom,Volantene Whore #1,1,2016,2016
Tom Chadbon,High Septon Maynard,1,2017,2017
Rania Zouari,Pentoshi Servant,1,2011,2011
David Verrey,High Septon,1,2012,2012
Grace Hendy,Merry Frey,1,2013,2013
Anthony Boyle,Bolton Guard,1,2014,2014
Grahame Fox,Ralf Kenning,1,2014,2014
Nicholas Boulton,Pit Announcer,1,2015,2015
Rila Fukushima,Street Red Priestess Volantis,1,2015,2015
Raymond Keane,Winter Town Man,1,2015,2015
Jed Murray,Northman Rioter,1,2016,2016
Sam Redford,Tully Bannerman,1,2016,2016
David Rintoul,Aerys Targaryen,1,2016,2016
Graham Charles,Varly,1,2011,2011
Alan Paris,Goldcloak,1,2011,2011
Pat McGrath,Hog Farmer,1,2013,2013
Philip Philmar,Elder Meereen Slave,1,2014,2014
Bobby Asghar,Great Master #2,1,2015,2015
Michael Patrick,Wildling Rioter,1,2016,2016
Freddie Stroma,Dickon Tarly,1,2016,2016
Ben Fox,Crossroads Inn Patron,1,2017,2017
Luke Wilson Hanley,Stark Soldier,1,2017,2017
Guy Oliver-Watts,Lannister General,1,2017,2017
Ed Sheeran,Lannister Soldier,1,2017,2017
Adele Smyth-Kennedy,'Littlefinger' Winterfell Spy,1,2017,2017
Spencer Wilding,White Walker #2,1,2011,2011
Sam Mackay,Lannister Guard,1,2012,2012
Jonathan Ryan,Drowned Priest,1,2012,2012
Steve Wilson,Theon's Master of Hounds,1,2012,2012
Trevor Allan Davies,Fennesz,1,2014,2014
Jazzy De Lisser,Tansy,1,2014,2014
Gian Sanghera-Warren,Goatherd's Son,1,2014,2014
Lacy Moore,Braavosi Madam,1,2015,2015
Gary Pillai,Merchant Captain,1,2015,2015
Peter Silverleaf,Great Master #3,1,2015,2015
Rebecca Benson,Talla Tarly,1,2016,2016
Dylan Edwards,King's Landing Boaster,1,2016,2016
Matt Faris,Lannister Soldier,1,2016,2016
Yousef 'Joe' Sweid,Ash,1,2016,2016
Mark Roper,Crossroads Inn Patron,1,2017,2017
Thomas Turgoose,Lannister Soldier,1,2017,2017
Amira Ghazalla,Dothraki Crone,1,2011,2011
Jeffrey O'Brien,Jaremy Rykker,1,2011,2011
Claire Wright,Wight Wildling Girl,1,2011,2011
Amy Dawson,Captain's Daughter,1,2012,2012
David Fynn,Rennick,1,2012,2012
Oddie Braddell,Wendel Manderly,1,2013,2013
Mackenzie Dean,NA,1,2014,2014
Jody Halse,Adrack Humble,1,2014,2014
Stuart Martin,Morgan's Friend,1,2014,2014
Jack Hickey,Young Braavosi,1,2015,2015
Davor Jozinovic,Great Master #4,1,2015,2015
Christian Vit,Lead Dornish Guard,1,2015,2015
Rubi Ali,Moro's Wife #1,1,2016,2016
Michael Heath,Kesh,1,2016,2016
Neil Keery,Ironborn at Brothel,1,2016,2016
Ross McKinney,Riddell,1,2016,2016
Billy Postlethwaite,Lannister Soldier,1,2017,2017
Niall Cusack,Joss,1,2011,2011
Portelli Paul,Drunk Patron,1,2011,2011
Tyrone McElhennon,Torrhen Karstark,1,2012,2012
Will Champion,Drummer,1,2013,2013
Ivan Peric,Great Master #5,1,2015,2015
Ania Bukstein,Kinvara,1,2016,2016
Steve Love,Steve,1,2016,2016
Heidi Romanova,Volantene Whore #2,1,2016,2016
Raül Tortosa,Tyrell Bannerman,1,2016,2016
Adam Slynn,Lannister Guard,1,2017,2017
Phil Dixon,Tomard,1,2011,2011
Stephen Don,Stiv,1,2011,2011
Edward Mercieca,King's Landing Baker,1,2011,2011
Nikovich Sammut,Goldcloak #1,1,2011,2011
Neill Fleming,Karstark Soldier #1,1,2012,2012
Jer O'Leary,Lordsport Dockhand,1,2012,2012
Bryan Quinn,Bolton Soldier,1,2013,2013
Octavia Selena Alexandru,Leaf,1,2014,2014
Richard Doubleday,Vance Corbray,1,2014,2014
Robert Goodman,Valyrian Slave,1,2014,2014
James McHale,Axell Florent,1,2014,2014
Martin Walsh,Innkeeper,1,2014,2014
Hadi Kermani,Great Master #6,1,2015,2015
Brahm Gallagher,Lannister Soldier,1,2016,2016
Tamer Hassan,Khal Forzho,1,2016,2016
Danielle Claire Jenner,Volantene Whore #3,1,2016,2016
Seamus Kelly,Goldcloak #2,1,2011,2011
Marcus Lamb,Night's Watchman,1,2011,2011
Tristan Mercieca,Little Bird,1,2011,2011
Paddy Rocks,Knight of House Lynderly,1,2011,2011
Gina Moxley,Old Woman Prisoner,1,2012,2012
Elisa Lasowski,Mirelle,1,2013,2013
Harold James McMullan,Sorcerer,1,2013,2013
Karl Jackson,Unsullied,1,2014,2014
Daniel Rabin,Lord Blackmont,1,2014,2014
Tonci Banov,Great Master #7,1,2015,2015
Mishaël Lopes Cardozo,Brothel Guard,1,2015,2015
Simon Norbury,Faith Militant #1,1,2015,2015
Ella Hughes,Volantene Whore #4,1,2016,2016
Adam Turns,The Waif's Disguise,1,2016,2016
Colin Carnegie,Stevron Frey,1,2011,2011
Barrington Cullen,Eon Hunter,1,2011,2011
Ken Fletcher,Gerald,1,2012,2012
Michael Power,Boat Commander,1,2013,2013
Jon Thor Birgisson,Musician #1,1,2014,2014
Darren Kent,Goatherd,1,2014,2014
Tim Landers,Kegs,1,2014,2014
Ian Lloyd Anderson,Derek,1,2015,2015
Elizabeth Cadwallader,Lollys Stokeworth,1,2015,2015
David Garlick,Despondent Man,1,2015,2015
Jack Olohan,Faith Militant #2,1,2015,2015
Zoi Gorman,Volantene Whore #5,1,2016,2016
Bryan McCaugherty,Ryger Rivers,1,2011,2011
Barry John O'Connor,Night's Watch Deserter,1,2011,2011
Marko Juraga,King's Landing Rioter #2,1,2012,2012
Darren Killeen,Colen of Greenpools,1,2012,2012
Emmet O'Riabhaigh,Wounded Lannister,1,2012,2012
Edward Tudor-Pole,Protestor,1,2012,2012
Aisling Jarrett-Gavin,Margaery's Handmaiden,1,2013,2013
Ciaran O'Grady,Frey Soldier #1,1,2013,2013
Joe Purcell,Riverlands Traveller,1,2013,2013
Orri P. Dyrason,Musician #2,1,2014,2014
Cormac McDonagh,Black Jack Bulwer,1,2014,2014
Dez McMahon,Ser Endrew Tarth,1,2014,2014
Aeryn Walker,Craster's Wife #2,1,2014,2014
Jonathan Byrne,Brant,1,2015,2015
Cedric Henderson,Faceless Man,1,2015,2015
Matt McArdle,Sellsword #1,1,2015,2015
Slavko Sobin,Second Son,1,2015,2015
Wayne Foskett,Rickard Stark,1,2016,2016
Billy King,Ironborn Abusing a Volantene Whore,1,2016,2016
Paul Ward,Poisoned Frey,1,2017,2017
Stephen Grech,King's Landing Urchin,1,2011,2011
David Michael Scott,Beric Dondarrion,1,2011,2011
Donal Gallery,Tortured Prisoner,1,2012,2012
Duncan Lacroix,Karstark Soldier #2,1,2012,2012
Rea Separovic,King's Landing Rioter #3,1,2012,2012
Max Barber,Orphan Kid,1,2013,2013
Shaun Blaney,Karstark Lookout,1,2013,2013
Joe Cassidy,King's Landing Tailor,1,2013,2013
Michael Liebmann,Frey Soldier #2,1,2013,2013
Georg Holm,Musician #3,1,2014,2014
Cheryl Lester,Craster's Wife #3,1,2014,2014
Finbar Lynch,Farmer Hamlet,1,2014,2014
Andy Moore,Mully,1,2014,2014
Nikola Bace,Tyrell Guard,1,2015,2015
Eddie Elks,Sellsword #2,1,2015,2015
Danny O'Conner,Lannister Guard #1,1,2015,2015
Paddy Wallace,Lead Kingsguard,1,2015,2015
Luke Roberts,Arthur Dayne,1,2016,2016
Brendan Morrissey,Frey Lord,1,2017,2017
Patrick FitzSymons,Reginald Lannister,1,2012,2012
Derek Reid,Brothel Customer,1,2012,2012
Stephanie Blacker,Violet,1,2013,2013
Alex Mileman,Fruit Vendor,1,2013,2013
Will Rastall,Tyrell Servant,1,2013,2013
Lottie Steer,Warlock,1,2013,2013
Raymond Griffiths,King Joffrey Baratheon Dwarf,1,2014,2014
Alice Hewkin,Wight,1,2014,2014
Samuel Paul Small,Little Bird,1,2014,2014
Gwyneth Keyworth,Clea,1,2015,2015
Garry Mountaine,Brusco,1,2015,2015
Allon Sylvain,Foreign Merchant,1,2015,2015
Eddie Eyre,Gerold Hightower,1,2016,2016
Richard Laing,Lannister Captain,1,2016,2016
Deon Lee-Williams,Iggo,1,2016,2016
Eamonn Draper,Sick Maester,1,2017,2017
Steve Blount,Rickard Karstark,1,2011,2011
Rhys Howells,Unsullied,1,2013,2013
Jon Freeman,NA,1,2014,2014
Kristen Gillespie,Whore #1,1,2014,2014
Maxwell Laird,King Stannis Baratheon Dwarf,1,2014,2014
Dylan McDonough,Sailor,1,2015,2015
Emina Muftic,Beggar Woman,1,2015,2015
J.J. Murphy,Denys Mallister,1,2015,2015
Nell Williams,Young Cersei Lannister,1,2015,2015
Elie Haddad,Khal Brozho,1,2016,2016
Gerry O'Brien,Jonos Bracken,1,2011,2011
Moe Dunford,Stark Messenger,1,2012,2012
Patrick O'Kane,Jaqen's Disguise,1,2012,2012
Maro Drobnic,Desmond Crakehall,1,2013,2013
Jem Wall,Guymon,1,2014,2014
Dean Whatton,King Renly Baratheon Dwarf,1,2014,2014
Rob Brockman,NA,1,2015,2015
Nigel O'Neill,Baratheon General,1,2015,2015
Isabella Steinbarth,Melara Hetherspoon,1,2015,2015
Kate Anthony,Braavosi Woman #1,1,2016,2016
Andrei Claude,Khal Rhalko,1,2016,2016
Cordelia Hill,Young Lyanna Stark,1,2016,2016
Patrick Ryan,Knight of House Frey,1,2011,2011
Simon Stewart,Lannister Messenger,1,2011,2011
Mark Byatt,Lannister Torturer,1,2012,2012
Pat Mooney,Northern Lord,1,2012,2012
Michael Shaeffer,Stark Soldier,1,2012,2012
Marin Tudor,Yunkai'i Slave #1,1,2013,2013
George Appleby,King Robb Stark Dwarf,1,2014,2014
Gabrielle Dempsey,Innkeeper's Daughter,1,2014,2014
Raewyn Lippert,Olly's Mother,1,2014,2014
Tom Fava,Street Tough #1,1,2015,2015
Maggie Hayes,Septa Moelle,1,2015,2015
Marcos James,White Rat,1,2015,2015
Daniel Johnson,NA,1,2015,2015
Ollie Kram,Anara,1,2015,2015
Frank Hvam,Citadel Maester,1,2016,2016
Darius Dar Khan,Khal Qorro,1,2016,2016
Sally Mortemore,Braavosi Woman #2,1,2016,2016
Kate Dempsey,Serving Girl,1,2017,2017
B.J. Hogg,Addam Marbrand,1,2011,2011
Matthew Scurfield,Vayon Poole,1,2011,2011
